"e"
"{'_LABEL':'rel_a','_ID':3,'_SRC_ID':0,'_DST_ID':3,'double_weight':3.141593,'i32_weight':42,'i64_weight':-1234567890123456789,'datetime_weight':'2023-05-17 00:00:00.000'}"
"{'_LABEL':'rel_a','_ID':7,'_SRC_ID':0,'_DST_ID':7,'double_weight':2.236068,'i32_weight':777,'i64_weight':1234567890123456789,'datetime_weight':'2023-04-12 00:00:00.000'}"
"{'_LABEL':'rel_a','_ID':1048583,'_SRC_ID':1,'_DST_ID':7,'double_weight':-2.718282,'i32_weight':999,'i64_weight':987654321098765432,'datetime_weight':'2023-11-03 00:00:00.000'}"
"{'_LABEL':'rel_a','_ID':1048580,'_SRC_ID':1,'_DST_ID':4,'double_weight':-0.693147,'i32_weight':-888,'i64_weight':-87654321098765210,'datetime_weight':'2023-09-30 00:00:00.000'}"
"{'_LABEL':'rel_a','_ID':2097157,'_SRC_ID':2,'_DST_ID':5,'double_weight':1.414214,'i32_weight':-500,'i64_weight':0,'datetime_weight':'2024-01-22 00:00:00.000'}"
"{'_LABEL':'rel_a','_ID':2097161,'_SRC_ID':2,'_DST_ID':9,'double_weight':1.732051,'i32_weight':0,'i64_weight':44444444444444444,'datetime_weight':'2024-02-14 00:00:00.000'}"
"{'_LABEL':'rel_a','_ID':3145736,'_SRC_ID':3,'_DST_ID':8,'double_weight':3.141593,'i32_weight':1337,'i64_weight':0,'datetime_weight':'2023-07-19 00:00:00.000'}"
"{'_LABEL':'rel_a','_ID':4194312,'_SRC_ID':4,'_DST_ID':8,'double_weight':0.577216,'i32_weight':1024,'i64_weight':5555555555555555555,'datetime_weight':'2023-08-14 00:00:00.000'}"
"{'_LABEL':'rel_a','_ID':5242886,'_SRC_ID':5,'_DST_ID':6,'double_weight':-1.414214,'i32_weight':-2048,'i64_weight':77777777777777777,'datetime_weight':'2023-10-05 00:00:00.000'}"
"{'_LABEL':'rel_a','_ID':6291465,'_SRC_ID':6,'_DST_ID':9,'double_weight':-1.618034,'i32_weight':-1000,'i64_weight':-99999999999999999,'datetime_weight':'2023-12-31 00:00:00.000'}"
